2394426 -2382649 -7821510
2086898 4498159 -6224406
-9535710 -1026424 -1835754
-2470205 7273273 -7196960
6885863 6788314 7917009
-1136990 -4448096 1377670
-6769116 4473542 -9455727
-3032530 -4890284 -6093248
4590458 8869760 -849447
2944800 -1436612 3679311
-3766659 -9042186 -8703337
-1588169 3044712 5794821
2187424 3509001 -5231603
-9648330 -8961204 -7958329
-6845290 7924658 8829984
-8928281 -3212331 -5618112
2449389 18552 8855430
2993661 6986022 -6034854
6900412 1576481 -7165094
-3949035 -5478719 1398293
9730276 754622 2356107
-8973061 9166452 -4599181
6821760 1353877 8909820
-8409843 1705547 9948615
-6368172 4860256 7873274
-7538188 5931975 -5339057
-3156300 -1618635 4679495
