1921: 115 328
1922: 92 325
1923: 129 398
1924: 143 438
1925: 54 180
1926: 125 356
1927: 59 255
1928: 139 423
1929: 120 368
1930: 72 281
1931: 138 431
1932: 95 326
1933: 84 317
1934: 136 408
1935: 50 222
1936: 107 356
1937: 149 462
1938: 59 252
1939: 112 365
1940: 147 458
1941: 53 205
1942: 146 447
1943: 97 336
1944: 134 367
1945: 51 235
1946: 111 394
1947: 120 445
1948: 64 254
1949: 148 404
1950: 138 422
1951: 112 375
1952: 93 316
1953: 75 302
1954: 111 354
1955: 129 398
1956: 82 304
1957: 124 392
1958: 82 268
1959: 70 275
1960: 80 285
1961: 125 387
1962: 52 235
1963: 86 233
1964: 82 322
1965: 78 305
1966: 87 328
1967: 140 429
1968: 92 306
1969: 131 428
1970: 133 401
1971: 80 334
1972: 130 405
1973: 62 279
1974: 87 311
1975: 73 338
1976: 125 429
1977: 145 445
1978: 57 235
1979: 133 410
1980: 56 237
1981: 140 442
1982: 50 222
1983: 52 226
1984: 60 288
1985: 78 298
1986: 137 448
1987: 52 240
1988: 116 371
1989: 77 279
1990: 113 371
1991: 50 247
1992: 107 373
1993: 136 420
1994: 94 407
1995: 118 378
1996: 123 452
1997: 93 305
1998: 116 361
1999: 50 170
2000: 141 438
2001: 112 376
2002: 52 227
2003: 63 247
2004: 149 444
